"";"area";"A1";"A2";"B1";"B2";"B3";"B4";"B5";"C";"tot.pred";"tot"
"1";"ADMINISTRAÇĂO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";0;2;3;0;3;5;0;0;13;3089
"2";"ANTROPOLOGIA / ARQUEOLOGIA";0;0;0;0;1;0;2;1;4;1301
"3";"ARQUITETURA, URBANISMO E DESIGN";0;0;0;0;5;1;3;7;16;1118
"4";"ARTES / MÚSICA";0;0;1;0;0;0;0;1;2;889
"5";"ASTRONOMIA / FÍSICA";0;1;1;3;1;0;3;10;19;1683
"6";"BIODIVERSIDADE";0;0;1;2;6;2;1;42;54;3293
"7";"BIOTECNOLOGIA";1;5;2;8;3;8;9;54;90;3827
"8";"CIÊNCIA DA COMPUTAÇĂO";0;1;1;3;1;1;4;28;39;1696
"9";"CIÊNCIA DE ALIMENTOS";0;0;0;0;3;3;1;34;41;1364
"10";"CIÊNCIA POLÍTICA E RELAÇƠES INTERNACIONAIS";0;0;0;0;2;3;2;3;10;1344
"11";"CIÊNCIAS AGRÁRIAS I";0;3;3;13;1;3;31;12;66;3374
"12";"CIÊNCIAS AMBIENTAIS";0;1;16;0;1;5;6;28;57;4110
"13";"CIÊNCIAS BIOLÓGICAS I";2;2;5;0;5;2;6;46;68;3400
"14";"CIÊNCIAS BIOLÓGICAS II";1;2;4;3;2;0;7;39;58;3417
"15";"CIÊNCIAS BIOLÓGICAS III";2;1;2;1;4;6;6;21;43;2119
"16";"CIÊNCIAS DA RELIGIĂO E TEOLOGIA";0;0;0;0;1;0;0;0;1;412
"17";"COMUNICAÇĂO E INFORMAÇĂO";0;1;0;0;0;1;0;5;7;1640
"18";"DIREITO";0;0;0;1;1;0;0;2;4;2111
"19";"ECONOMIA";0;1;3;0;2;2;5;7;20;1466
"20";"EDUCAÇĂO";0;0;3;4;4;2;2;6;21;3619
"21";"EDUCAÇĂO FÍSICA";0;1;1;6;2;1;9;11;31;1978
"22";"ENFERMAGEM";0;2;9;2;0;0;6;8;27;1656
"23";"ENGENHARIAS I";0;0;1;2;3;4;3;27;40;2097
"24";"ENGENHARIAS II";1;5;2;6;1;11;24;31;81;2362
"25";"ENGENHARIAS III";0;0;4;3;9;6;4;73;99;3357
"26";"ENGENHARIAS IV";0;0;3;7;8;0;2;42;62;2290
"27";"ENSINO";0;3;0;1;4;3;10;12;33;2597
"28";"FARMÁCIA";1;3;3;7;10;7;4;44;79;2822
"29";"FILOSOFIA";0;0;0;0;0;1;0;0;1;1116
"30";"GEOCIÊNCIAS";0;0;0;1;2;0;0;5;8;1368
"31";"GEOGRAFIA";0;0;1;0;3;1;0;6;11;1576
"32";"HISTÓRIA";0;0;0;0;0;0;1;0;1;2155
"33";"INTERDISCIPLINAR";4;5;15;8;22;9;38;29;130;9629
"34";"LETRAS / LINGUÍSTICA";0;1;0;0;0;1;0;2;4;2720
"35";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";0;0;0;0;0;1;2;7;10;1335
"36";"MATERIAIS";1;2;4;2;0;8;18;6;41;1503
"37";"MEDICINA I";1;6;2;7;4;11;9;35;75;4448
"38";"MEDICINA II";2;4;5;5;7;17;0;35;75;4417
"39";"MEDICINA III";2;3;0;5;4;5;0;10;29;1761
"40";"MEDICINA VETERINÁRIA";1;2;2;0;1;7;24;7;44;1871
"41";"NUTRIÇĂO";2;0;2;2;3;2;11;7;29;1256
"42";"ODONTOLOGIA";3;0;3;7;7;5;11;12;48;1998
"43";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";0;2;2;2;2;2;12;5;27;1745
"44";"PSICOLOGIA";0;0;2;1;2;4;7;3;19;2677
"45";"QUÍMICA";1;1;0;6;4;2;6;52;72;2392
"46";"SAÚDE COLETIVA";0;0;2;10;1;0;0;21;34;3325
"47";"SERVIÇO SOCIAL";0;0;0;0;0;0;1;5;6;739
"48";"SOCIOLOGIA";0;0;0;1;0;0;1;3;5;1987
"49";"ZOOTECNIA / RECURSOS PESQUEIROS";1;0;0;1;6;4;8;8;28;1389
