"";"area";"A1";"A2";"B1";"B2";"B3";"B4";"B5";"C";"tot.pred";"tot"
"1";"ADMINISTRAÇĂO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";0;2;3;0;3;10;0;0;18;3089
"2";"ANTROPOLOGIA / ARQUEOLOGIA";0;0;0;0;1;0;2;1;4;1301
"3";"ARQUITETURA, URBANISMO E DESIGN";0;0;0;0;5;1;3;7;16;1118
"4";"ARTES / MÚSICA";0;0;1;1;0;0;0;1;3;889
"5";"ASTRONOMIA / FÍSICA";0;1;1;3;1;1;3;14;24;1683
"6";"BIODIVERSIDADE";0;0;2;2;7;2;1;59;73;3293
"7";"BIOTECNOLOGIA";1;5;3;9;4;9;21;80;132;3827
"8";"CIÊNCIA DA COMPUTAÇĂO";0;1;1;3;2;1;4;30;42;1696
"9";"CIÊNCIA DE ALIMENTOS";0;0;0;0;3;3;1;47;54;1364
"10";"CIÊNCIA POLÍTICA E RELAÇƠES INTERNACIONAIS";0;0;0;0;2;3;2;3;10;1344
"11";"CIÊNCIAS AGRÁRIAS I";0;3;5;14;2;4;38;13;79;3374
"12";"CIÊNCIAS AMBIENTAIS";0;1;17;0;2;7;9;36;72;4110
"13";"CIÊNCIAS BIOLÓGICAS I";2;2;6;0;7;2;6;73;98;3400
"14";"CIÊNCIAS BIOLÓGICAS II";1;2;4;3;3;0;8;65;86;3417
"15";"CIÊNCIAS BIOLÓGICAS III";2;1;2;1;5;6;6;43;66;2119
"16";"CIÊNCIAS DA RELIGIĂO E TEOLOGIA";0;0;0;0;1;0;0;0;1;412
"17";"COMUNICAÇĂO E INFORMAÇĂO";0;1;0;0;0;1;0;6;8;1640
"18";"DIREITO";0;0;0;1;1;0;0;3;5;2111
"19";"ECONOMIA";0;1;3;0;2;3;6;7;22;1466
"20";"EDUCAÇĂO";0;0;3;4;4;2;2;6;21;3619
"21";"EDUCAÇĂO FÍSICA";0;1;1;7;3;1;24;12;49;1978
"22";"ENFERMAGEM";1;3;9;4;0;0;11;10;38;1656
"23";"ENGENHARIAS I";0;0;1;2;3;4;3;35;48;2097
"24";"ENGENHARIAS II";1;5;2;6;1;18;29;36;98;2362
"25";"ENGENHARIAS III";0;0;4;3;9;8;6;79;109;3357
"26";"ENGENHARIAS IV";0;0;3;7;8;0;2;46;66;2290
"27";"ENSINO";0;3;0;1;4;4;15;14;41;2597
"28";"FARMÁCIA";1;3;4;8;10;7;4;72;109;2822
"29";"FILOSOFIA";0;0;0;0;0;1;0;0;1;1116
"30";"GEOCIÊNCIAS";0;0;0;1;2;0;0;9;12;1368
"31";"GEOGRAFIA";0;0;1;0;3;1;1;6;12;1576
"32";"HISTÓRIA";0;0;0;0;0;0;1;0;1;2155
"33";"INTERDISCIPLINAR";4;5;17;9;25;13;46;43;162;9629
"34";"LETRAS / LINGUÍSTICA";0;1;0;0;0;1;0;3;5;2720
"35";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";0;0;0;0;0;1;2;10;13;1335
"36";"MATERIAIS";1;2;4;2;1;10;18;7;45;1503
"37";"MEDICINA I";1;6;2;9;5;14;11;85;133;4448
"38";"MEDICINA II";2;4;5;6;7;52;0;48;124;4417
"39";"MEDICINA III";2;3;0;5;4;17;0;16;47;1761
"40";"MEDICINA VETERINÁRIA";1;2;2;0;1;9;42;13;70;1871
"41";"NUTRIÇĂO";2;0;2;3;3;2;17;7;36;1256
"42";"ODONTOLOGIA";3;0;3;9;7;11;16;20;69;1998
"43";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";0;2;2;2;2;2;14;5;29;1745
"44";"PSICOLOGIA";0;0;2;1;4;5;11;3;26;2677
"45";"QUÍMICA";1;1;0;7;4;2;6;65;86;2392
"46";"SAÚDE COLETIVA";0;0;2;10;1;0;0;45;58;3325
"47";"SERVIÇO SOCIAL";0;0;0;0;0;0;1;5;6;739
"48";"SOCIOLOGIA";0;0;0;1;0;0;1;3;5;1987
"49";"ZOOTECNIA / RECURSOS PESQUEIROS";1;0;0;1;6;6;13;10;37;1389
